dataset_name,real_speed,fps,frame_count,duration_sec,width,height,flow_x_mean,flow_x_median,flow_x_std,flow_x_abs_mean,flow_y_mean,flow_y_median,flow_y_std,flow_y_abs_mean,mag_mean,mag_median,mag_std,mag_min,mag_max,mag_p10,mag_p25,mag_p75,mag_p90,mag_p95,angle_mean,angle_median,angle_std,moving_area_ratio_mean,moving_area_ratio_std,motion_per_second_mean,motion_per_second_p90,is_stabilised,is_not_stabilised,is_seeded,is_unseeded,is_uas,is_gopro,is_orthorectified,has_fps_in_name
RiverBradano_NonStabilised,0.817,24.0,600,25.0,1920,1080,-0.033550054,-2.1853405e-07,0.4208961,0.24474572,-0.0051345523,-4.971047e-06,0.7210048,0.42299652,0.5355835,0.30445448,0.6413296,0.0,4.96262,8.643781e-07,0.00059479655,0.91011727,1.4465419,1.8170147,3.4383395,3.94451,1.6489781,0.25,0.0,12.854004,34.717007,1,1,0,0,0,0,0,0
1_Castor_Canada,1.381,20.0,600,30.0,2688,1520,-0.32714024,-0.07756381,0.8754968,0.4558414,0.127396,0.043150123,0.63032216,0.3358408,0.63087857,0.32815406,0.942891,1.2945898e-06,29.56828,0.070780024,0.14422086,0.8842715,1.5323265,1.929714,3.0036638,2.883281,1.5102478,0.25,0.0,12.617571,30.64653,0,0,0,0,0,0,0,0
2_Castor_Canada,,20.0,600,30.0,2688,1520,-0.08832703,-0.025509175,0.568654,0.18865003,0.0034451138,-4.2665895e-05,0.85625803,0.17742649,0.29059076,0.15616652,0.98990697,1.210094e-12,38.165417,0.03312719,0.07785669,0.27924404,0.48075533,0.7285007,3.1442046,3.1563482,1.6010475,0.25,0.0,5.8118153,9.615107,0,0,0,0,0,0,0,0
3_Castor_Canada,,20.0,600,30.0,2688,1520,-0.07390439,-0.009602754,0.325278,0.13601993,0.0053257067,0.00080768915,0.32117984,0.107589774,0.19475086,0.10077771,0.4201483,8.587426e-19,15.041861,0.008322364,0.036426768,0.2046277,0.43005756,0.7027844,3.1207073,3.0787253,1.617762,0.25,0.0,3.8950171,8.601151,0,0,0,0,0,0,0,0
4_Castor_Canada,0.141,120.0,3252,27.1,1920,1080,-0.000930142,7.580352e-30,0.04071504,0.0077394946,0.0009568378,3.060741e-32,0.042551734,0.010008416,0.01389282,0.006441696,0.057246264,0.0,4.559128,1.3415862e-05,0.001467787,0.016261306,0.0319113,0.046160754,3.1261423,3.1415927,1.8067992,0.24999996933869703,7.811113620274542e-07,1.6671385,3.8293557,0,0,0,0,0,0,0,0
LaMorge_orthorectified,0.388,5.0,48,9.6,1550,950,2.8700497,0.25810802,3.814754,2.933152,0.5046324,0.032109134,1.029897,0.6836901,3.0787928,0.606967,3.8243835,0.0,14.01438,0.021497278,0.057407543,6.2099214,9.438116,10.528492,2.2890913,1.3649439,2.264123,0.25,0.0,15.393964,47.190582,0,0,0,0,0,0,1,0
BrentaFLIR,0.384,5.0,80,16.0,404,240,0.060395803,1.0107197e-14,1.7503576,0.7464017,-0.13529961,-1.1886118e-15,2.4335124,1.0335653,1.5599597,0.6460169,2.5640233,0.0,25.36581,6.9984515e-07,0.119290926,1.8033772,4.163853,6.508062,3.188242,3.158865,1.8725628,0.25,0.0,7.799798,20.819265,0,0,0,0,0,0,0,0
Brenta1,0.384,25.0,500,20.0,1430,1080,0.12679884,0.022452172,0.32003236,0.20863007,-1.2070172,-0.44164878,1.4990152,1.2625653,1.3044909,0.56319594,1.4562757,0.0,6.2513804,4.547841e-09,0.094429635,2.466531,3.6956072,4.1308894,4.196312,4.7485538,1.3794959,0.25,0.0,32.612274,92.39018,0,0,0,0,0,0,0,0
LaVence,0.651,30.0,150,5.0,320,755,-0.5899495,-0.21335095,2.381142,1.6337614,-0.689263,-0.3003651,1.7722408,1.3049449,2.28353,1.5990534,2.1022105,2.999678e-15,16.4259,0.37595078,0.7856251,3.090876,5.2273974,6.83372,3.4730976,3.6112967,1.6675646,0.25,0.0,68.5059,156.82193,0,0,0,0,0,0,0,0
RiverNoce_12_fps,0.429,12.0,70,5.833333333333333,1920,1080,-0.008173229,-8.232586e-06,0.495101,0.28806007,1.4827486,0.63397473,1.891238,1.5995487,1.6591345,0.88611585,1.8077028,7.0165893e-15,10.457953,0.0002750733,0.031297427,3.1258316,4.473455,5.098365,2.119199,1.6459322,1.2926917,0.25,0.0,19.909615,53.681458,0,0,0,0,0,0,0,1
Thalhofen,1.791,30.0,56,1.8666666666666667,700,2748,2.622586,1.0816543,3.1669793,2.7143219,-0.15855423,-0.03347397,0.74897933,0.481564,2.909075,1.625053,3.00518,8.325774e-05,13.001882,0.09092222,0.36969763,5.1256075,7.790313,8.7946,3.541626,4.675104,2.5780177,0.25,0.0,87.27225,233.70938,0,0,0,0,0,0,0,0
Tiber,2.331,6.95,410,58.99280575539568,865,530,0.23967825,0.04307305,3.6033719,2.2122138,-3.042417,-0.2580783,8.517812,4.921239,6.0340295,3.0513031,7.6447134,4.567784e-07,44.939907,0.0868589,0.5746994,8.428844,16.3568,25.875214,3.5826008,4.118059,1.7883316,0.25,0.0,41.936504,113.679756,0,0,0,0,0,0,0,0
SalmonRiver_notStabilised,0.667,23.976023976023978,1458,60.81075,1920,1080,0.011342582,0.0022823396,0.24196178,0.15606835,-0.011219778,-0.0039503872,0.27345118,0.16422357,0.25251877,0.1698237,0.26421556,1.7325036e-05,3.7182622,0.0466633,0.08828263,0.32330486,0.553486,0.74086857,3.2073307,3.2269945,1.8177476,0.25,0.0,6.054396,13.270393,0,1,0,0,0,0,0,0
StJulien,6.001,25.0,51,2.04,367,701,0.1828271,0.054371968,2.42764,1.6084448,3.9055789,1.4062632,5.366942,4.238085,4.93123,3.2881846,5.066304,0.00025689523,21.966034,0.11930413,0.5031178,7.8647604,13.265966,15.314476,2.2578967,1.6814129,1.5710291,0.25,0.0,123.280754,331.64917,0,0,0,0,0,0,0,0
